,nvplay_name,cricinfo_id,name
70,AD Russell,276298.0,Andre Russell
71,EC Hossain,932355.0,Ebadot Hossain
72,K Ahmed,927619.0,Khaled Ahmed
73,JubairHossain,629066.0,Jubair Hossain
74,Jubair Hossain,629066.0,Jubair Hossain
75,Zahiduzzaman,937535.0,Zahiduzzaman
76,Gulbadin Naib,352048.0,Gulbadin Naib
77,R Gurbaz,974087.0,Rahmanullah Gurbaz
78,Tom Kohler Cadmore,470633.0,Tom Kohler-Cadmore
79,AC Jayed,410763.0,Abu Jayed
80,AR Hider,550137.0,Abu Hider
81,M Haris,1205559.0,Mohammad Haris
82,Mohammad Akbar Ali,990147.0,Akbar Ali
83,H Rahman,1352980.0,Habibur Rahman Sohan
84,U Khan,1123428.0,Usman Khan
85,MP O'Dowd,643197.0,Max ODowd
86,Arafat Sunny,56268.0,Arafat Sunny
87,Mashrafe Mortaza,56007.0,Mashrafe Mortaza
88,T Ahmed,538506.0,Taskin Ahmed
89,Imad Wasim,227758.0,Imad Wasim
90,I Zadran,921509.0,Ibrahim Zadran
91,Robiul Haque,1123787.0,Robiul Haque
92,A Hossain,511532.0,Al-Amin Hossain
93,A Omarzai,819429.0,Azmatullah Omarzai
94,SP Narine,230558.0,Sunil Narine
95,Ripon M Mondol,1276980.0,Ripon Mondol
96,NM Ul-Haq,793447.0,Naveen-ul-Haq
97,D Pretorius,327830.0,Dwaine Pretorius
98,Andre Fletcher,51862.0,Andre Fletcher
99,PBB Rajapaksa,342619.0,Bhanuka Rajapaksa
100,N Pooran,604302.0,Nicholas Pooran
101,DJ Bravo,51439.0,Dwayne Bravo
102,M Ur Rahman,974109.0,Mujeeb Ur Rahman
103,Shafiqullah Ghafari,1176738.0,Shafiqullah Ghafari
104,GF Linde,481875.0,George Linde
105,I Udana,328026.0,Isuru Udana
106,Rubel Hossain,300619.0,Rubel Hossain
107,MM Ali,8917.0,Moeen Ali
108,MD Shanaka,437316.0,Dasun Shanaka
109,Saim Ayub,1161031.0,Saim Ayub
110,N Ahmed,348049.0,Nasum Ahmed
111,A Butt,717373.0,Amad Butt
112,Ziaur Rahman,56167.0,Ziaur Rahman
113,S Hossain,1161044.0,Shamim Hossain
114,Kamrul Islam Rabbi,375724.0,Kamrul Islam
115,Sunzamul Islam,380974.0,Sunzamul Islam
116,Ziaur Rahman,1015399.0,Ziaur Rahman
117,M Pushpakumara,50205.0,Malinda Pushpakumara
118,Tanvir Islam,932665.0,Tanvir Islam
119,Qazi Onik,864553.0,Qazi Onik
120,Amir Hamza,402245.0,Amir Hamza
121,M Rizwan,323389.0,Mohammad Rizwan
122,Chadwick Walton,315586.0,Chadwick Walton
123,Nayeem Hasan,932635.0,Nayeem Hasan
124,Mizanur Rahman,329845.0,Mizanur Rahman
125,M Imran Randhawa,916727.0,Mohammad Imran
126,M Al Amin,549947.0,Al-Amin
127,L Wood,573170.0,Luke Wood
128,SW Billings,297628.0,Sam Billings
129,Nazmul Islam,446810.0,Nazmul Islam
130,J Charles,333066.0,Johnson Charles
131,Mukidul Islam,990165.0,Mukidul Islam
132,I Sukkur,400587.0,Irfan Sukkur
133,M Chowdhury,1012137.0,Mrittunjoy Chowdhury
134,Robin Das,1149211.0,Robin Das
135,MR Hasan,878465.0,Mehedi Hasan Rana
136,H Mahmud,926629.0,Hasan Mahmud
137,Mammudul Hasan Joy,1161381.0,Mahmudul Hasan Joy
138,Rakibul Hasan,1012131.0,Rakibul Hasan
139,M Sharifullah,280735.0,Sharifullah
140,Munim Shahriar,549950.0,Munim Shahriar
141,M Nawaz,348148.0,Mohammad Nawaz
142,PMH Emon,1139511.0,Parvez Hossain Emon
143,H Rauf,1161606.0,Haris Rauf
144,M Nihaduzzaman,629065.0,Nihaduzzaman
145,Farhad Reza,55894.0,Farhad Reza
146,Khawaja Nafay,1329699.0,Khawaja Nafay
147,Saif Hassan,821749.0,Saif Hassan
148,N Shah,1158088.0,Naseem Shah
149,Tawfique Khan,933173.0,Tawfique Khan
150,V Viyaskanth,1153149.0,Vijayakanth Viyaskanth
151,T Islam,401057.0,Taijul Islam
152,Mukhtar Ali,269332.0,Muktar Ali
153,Muktar Ali,269332.0,Muktar Ali
154,SD Hope,581379.0,Shai Hope
155,S Irshad,781705.0,Salman Irshad
156,Nahid Rana,1210511.0,Nahid Rana
157,M Wasim,1185538.0,Mohammad Wasim
158,TJ Moores,788101.0,Tom Moores
159,Alex Blake,243944.0,Alex Blake
160,Tanzim H Sakib,1139520.0,Tanzim Hasan Sakib
161,Mohammad Amir,290948.0,Mohammad Amir
162,Rejaur Rahman Raja,1163488.0,Rejaur Rahman Raja
163,Mehedi Hasan Maruf,228210.0,Mehedi Maruf
164,C Campher,595921.0,Curtis Campher
165,Salman Hossain Emon,537613.0,Salman Hossain
166,RP Burl,495964.0,Ryan Burl
167,A Balbirnie,303423.0,Andy Balbirnie
168,M Deyal,848623.0,Mark Deyal
169,Shafiqul Islam,932763.0,Shafiqul Islam
170,Abdullah A Mamun,1277007.0,Abdullah Al Mamun
171,M Shahriar,549950.0,Munim Shahriar
172,T Shamsi,379145.0,Tabraiz Shamsi
173,A Jamal,793441.0,Aamer Jamal
174,A Yamin,434429.0,Aamer Yamin
175,Haseebullah Khan,1171127.0,Haseebullah Khan
176,AM Rossington,457280.0,Adam Rossington
177,Akif Javed,1203669.0,Akif Javed
178,U Asif,429122.0,Umaid Asif
179,Y Khan,1278029.0,Yasir Khan
180,AD Hales,249866.0,Alex Hales
181,M Khan,1217487.0,Mubasir Khan
182,N Zadran,524049.0,Najibullah Zadran
183,Omair Yousuf,1126059.0,Omair Yousuf
184,Shawaiz Irfan,1339088.0,Shawaiz Irfan
185,TH David,892749.0,Tim David
186,SS Cottrell,495551.0,Sheldon Cottrell
187,Izharulhaq Naveed,1076473.0,Izharulhaq Naveed
188,M Umar,1158099.0,Mohammad Umar
189,M Akhlaq,822485.0,Muhammad Akhlaq
190,S Dadswell,595406.0,Shane Dadswell
191,Sohaib Maqsood,43266.0,Sohaib Maqsood
192,D HUSSAIN,1206623.0,Dilbar Hussain
193,D Hussain,1206623.0,Dilbar Hussain
194,KA Pollard,230559.0,Kieron Pollard
195,Hussain Talat,628240.0,Hussain Talat
196,K Ghulam,623636.0,Kamran Ghulam
197,DA Miller,321777.0,David Miller
198,S Dahani,1203995.0,Shahnawaz Dahani
199,S Gul,922947.0,Sameen Gul
200,F Zaman,512191.0,Fakhar Zaman
201,D Wiese,221140.0,David Wiese
202,S Masood,233901.0,Shan Masood
203,U Mir,647667.0,Usama Mir
204,MT Baig,1331512.0,Mirza Baig
205,MS Wade,230193.0,Matthew Wade
206,Qasim Akram,1185475.0,Qasim Akram
207,Mir Hamza,556684.0,Mir Hamza
208,B Cutting,230371.0,Ben Cutting
209,BM Azam,348144.0,Babar Azam
210,Imran Tahir,40618.0,Imran Tahir
211,JDS Neesham,355269.0,James Neesham
212,RR Rossouw,318845.0,Rilee Rossouw
213,Nuwan Thushara,955235.0,Nuwan Thushara
214,S Ahmed,480603.0,Iftikhar Ahmed
215,Mohammad Hafeez,41434.0,Mohammad Hafeez
216,JJ Roy,298438.0,Jason Roy
217,MJ Guptill,226492.0,Martin Guptill
218,Abdul Bangalzai,1199393.0,Abdul Bangalzai
219,Umar Akmal,317273.0,Umar Akmal
220,M Hasnain,1158100.0,Mohammad Hasnain
221,HE van der Dussen,337790.0,Rassie van der Dussen
222,Hassan Nawaz,1329695.0,Hassan Nawaz
223,Faheem Ashraf,681117.0,Faheem Ashraf
224,C Munro,232359.0,Colin Munro
225,TK Curran,550235.0,Tom Curran
226,PR Stirling,303427.0,Paul Stirling
227,A Ali,494230.0,Asif Ali
228,AJ Tye,459508.0,Andrew Tye
229,JM Vince,296597.0,James Vince
230,Muhammad Musa,1072472.0,Muhammad Musa
231,Irfan Khan,1199426.0,Irfan Khan
232,JK Fuller,451782.0,James Fuller
233,R Powell,820351.0,Rovman Powell
234,S Muqeem,1329697.0,Sufiyan Muqeem
235,Khurram Shahzad,681351.0,Khurram Shahzad
236,Ahsan Bhatti,926037.0,Ahsan Bhatti
237,OF Smith,820691.0,Odean Smith
238,Shaheen Shah Afridi,1072470.0,Shaheen Shah Afridi
239,Shadab Khan,922943.0,Shadab Khan
240,M Ilyas,1159371.0,Mohammad Ilyas
241,Rumman Raees,448243.0,Rumman Raees
242,Z Khan,1272475.0,Zaman Khan
243,LA Dawson,211855.0,Liam Dawson
244,QK Ahmad,914171.0,Qais Ahmad
245,RA Khan,793463.0,Rashid Khan
246,U Qadir,348152.0,Usman Qadir
247,A Iqbal,1130463.0,Arshad Iqbal
248,Aimal Khan,1339131.0,Aimal Khan
249,W Smeed,1099224.0,Will Smeed
250,A Afridi,1158538.0,Abbas Afridi
251,Saad Masood,1339104.0,Saad Masood
252,Ihsanullah,1283740.0,Ihsanullah
253,CR Brathwaite,457249.0,Carlos Brathwaite
254,Anwar Ali,232491.0,Anwar Ali
255,Abdullah Shafique,922941.0,Abdullah Shafique
256,AJ Hosein,530812.0,Akeal Hosein
257,T Tayyab,824159.0,Tayyab Tahir
258,Zeeshan Zameer,1249881.0,Zeeshan Zameer
259,AA Daniel,1162381.0,Ashian Daniel
260,KIC Asalanka,784367.0,Charith Asalanka
261,KMA Paul,677081.0,Keemo Paul
262,LD Chandimal,300628.0,Dinesh Chandimal
263,MH Subasingha,1210287.0,Movin Subasingha
264,MM Theekshana,1138316.0,Maheesh Theekshana
265,MNK Fernando,1074333.0,Nuwanidu Fernando
266,Muditha Lakshan,985497.0,Muditha Lakshan
267,N Pradeep,324358.0,Nuwan Pradeep
268,NLTC Perera,233514.0,Thisara Perera
269,Niroshan Dickwella,429754.0,Niroshan Dickwella
270,PN Nissanka Silva,1028655.0,Pathum Nissanka
271,Ravi Bopara,10582.0,Ravi Bopara
272,S Prasanna,268740.0,Seekkuge Prasanna
273,Shammu Ashan,786645.0,Sammu Ashan
274,Sammu Ashan,786645.0,Sammu Ashan
275,Suranga Lakmal,49619.0,Suranga Lakmal
276,WIA Fernando,784369.0,Avishka Fernando
277,B Fernando,629080.0,Binura Fernando
278,DH Pulina Tharanga,508964.0,Pulina Tharanga
279,Dominic Drakes,906749.0,Dominic Drakes
280,BKG Mendis,629074.0,Kusal Mendis
281,DM de Silva,465793.0,Dhananjaya de Silva
282,AD Mathews,49764.0,Angelo Mathews
283,Dunith Wellalage,1152427.0,Dunith Wellalage
284,Shevon Daniel,1194744.0,Shevon Daniel
285,PHKD Mendis,784373.0,Kamindu Mendis
286,PM Dabare,931015.0,Thanuka Dabare
287,WSR Samarawickrama,629076.0,Sadeera Samarawickrama
288,PW Hasaranga,784379.0,Wanindu Hasaranga
289,WRT Mendis,629084.0,Ramesh Mendis
290,N Ahmed Lakanwal,1182529.0,Noor Ahmad
291,N Ahmad Lakanwal,1182529.0,Noor Ahmad
292,Ashan Randika,1082298.0,Ashan Randika
293,J Cox,1112537.0,Jordan Cox
294,Lahiru Madushanka,428366.0,Lahiru Madushanka
295,KNA Bandara,958691.0,Ashen Bandara
296,L Kumara,784375.0,Lahiru Kumara
297,FA Allen,670013.0,Fabian Allen
298,Tom Abell,462727.0,Tom Abell
299,Navod Paranavithana,1152410.0,Navod Paranavithana
300,KT Hasanka Ratnayake,950405.0,Tharindu Rathnayake
301,JDF Vandersay,370040.0,Jeffrey Vandersay
302,C Karunaratne,623695.0,Chamika Karunaratne
303,KWS Lakshan Fernando,1077063.0,Suminda Lakshan
304,RS Fernando,1217156.0,Ravindu Fernando
305,Lahiru Udara,704693.0,Lahiru Udara
306,PL Madushan,826689.0,Pramod Madushan
307,MADI Hemantha,721041.0,Dushan Hemantha
308,K Rajitha,499594.0,Kasun Rajitha
309,AM Fernando,786925.0,Asitha Fernando
310,Ashan Priyanjan,233802.0,Ashan Priyanjan
311,KNF Madushka,1126045.0,Nishan Madushka
312,NL Ahmad,1182529.0,Noor Ahmad
313,Lasith Croospulle,1027867.0,Lasith Croospulle
314,Asad Shafiq,316397.0,Asad Shafiq
315,Waqar Salamkheil,1108490.0,Waqar Salamkheil
316,Dilshan Madushanka,793007.0,Dilshan Madushanka
317,M Bhanuka,629075.0,Minod Bhanuka
318,L Sandakan,429738.0,Lakshan Sandakan
319,OR Thomas,914567.0,Oshane Thomas
320,MMA Chamindu Wijesinghe,1162378.0,Chamindu Wijesinghe
321,Kalana Perera,1152432.0,Kalana Perera
322,Kavin Bandara,786639.0,Kavin  Bandara
323,M Forde,1209190.0,Matthew Forde
324,Dilum Sudeera,792615.0,Dilum Sudeera
325,Sachitha Jayatilake,727399.0,Sachitha Jayatilake
326,Dhananjaya Lakshan,792519.0,Dhananjaya Lakshan
327,PAKP Jayawickrama,1028665.0,Praveen Jayawickrama
328,Oshada Fernando,366725.0,Oshada Fernando
329,Nipun Malinga,1057696.0,Nipun Malinga
330,Chamidu Wickramasinghe,1186658.0,Chamindu Wickramasinghe
331,Nimesh Vimukthi,1070154.0,Nimesh Vimukthi
332,Sahan Arachchige,693975.0,Sahan Arachchige
333,Hardus Viljoen,375126.0,Hardus Viljoen
334,PVD Chameera,552152.0,Dushmantha Chameera
335,Akila Dananjaya,574178.0,Akila Dananjaya
336,R Ngarava,806241.0,Richard Ngarava
337,N Burger,971349.0,Nandre Burger
338,JKV Liyanage,681681.0,Janith Liyanage
339,Sohan de Livera,1214967.0,Sohan de Livera
340,CJ Bowes,379890.0,Chad Bowes
341,C Lynn,326637.0,Chris Lynn
342,B McDermott,603410.0,Ben McDermott
343,AK Perera,300629.0,Angelo Perera
344,Nipun Dhananjaya,1126082.0,Nipun Dhananjaya
345,DAS Gunaratne,360456.0,Asela Gunaratne
346,Lakshan Edirisinghe,596303.0,Lakshan Edirisinghe
347,Nuwan Pradeep,324358.0,Nuwan Pradeep
348,Sonal Dinusha,1153148.0,Sonal Dinusha
349,Priyamal Perera,653033.0,Priyamal Perera
350,Yashodha Lanka,429947.0,Yashodha Lanka
351,M Pathirana,1194795.0,Matheesha Pathirana
352,H Kerr,1163855.0,Hayden Kerr
353,A Ross,333624.0,Alex Ross
354,L Samarakoon,924551.0,Lahiru Samarakoon
355,MDKJ Perera,300631.0,Kusal Perera
356,TL Seifert,625964.0,Tim Seifert
357,MVT Fernando,465783.0,Vishwa Fernando
358,J Clarke,571911.0,Joe Clarke
359,RF Higgins,572199.0,Ryan Higgins
360,T Banton,877051.0,Tom Banton
361,SR Hain,555850.0,Sam Hain
362,BM Duckett,521637.0,Ben Duckett
363,JJ Cobb,308408.0,Josh Cobb
364,OJD Pope,887207.0,Ollie Pope
365,AL Davies,516039.0,Alex Davies
366,MP Stoinis,325012.0,Marcus Stoinis
367,C Overton,464626.0,Craig Overton
368,A Zampa,379504.0,Adam Zampa
369,RJ Gleeson,473191.0,Richard Gleeson
370,JB Little,928067.0,Josh Little
371,M Carter,631545.0,Matthew Carter
372,HWR Cartwright,557295.0,Hilton Cartwright
373,SM Curran,662973.0,Sam Curran
374,WG Jacks,897549.0,Will Jacks
375,Danny Briggs,310107.0,Danny Briggs
376,D Lawrence,641423.0,Dan Lawrence
377,RJW Topley,461632.0,Reece Topley
378,GJ Maxwell,325026.0,Glenn Maxwell
379,EJG Morgan,24598.0,Eoin Morgan
380,Z Crawley,665053.0,Zak Crawley
381,Jordan Thompson,766809.0,Jordan Thompson
382,HC Brook,911707.0,Harry Brook
383,PD Salt,669365.0,Phil Salt
384,WL Madsen,46543.0,Wayne Madsen
385,PI Walter,909225.0,Paul Walter
386,Adam Lyth,251721.0,Adam Lyth
387,JC Buttler,308967.0,Jos Buttler
388,MKS Pepper,772293.0,Michael Pepper
389,LJ Evans,256956.0,Laurie Evans
390,DJ Willey,308251.0,David Willey
391,MJ Potts,1027781.0,Matthew Potts
392,F du Plessis,44828.0,Faf du Plessis
393,JE Root,303669.0,Joe Root
394,CG Benjamin,1149157.0,Chris Benjamin
395,DR Mousley,1172968.0,Dan Mousley
396,MA Hammond,460079.0,Miles Hammond
397,G Van Burren,381002.0,Graeme van Buuren
398,G Van Buuren,381002.0,Graeme van Buuren
399,L Gregory,362201.0,Lewis Gregory
400,LS Livingstone,403902.0,Liam Livingstone
401,Matthew Parkinson,653695.0,Matt Parkinson
402,T Stubbs,595978.0,Tristan Stubbs
403,SA Abbott,398666.0,Sean Abbott
404,TW Hartley,1150772.0,Tom Hartley
405,FJ Klaassen,1104703.0,Fred Klaassen
406,JA Simpson,21440.0,John Simpson
407,RE van der Merwe,47850.0,Roelof van der Merwe
408,BA Raine,459761.0,Ben Raine
409,LJ  Fletcher,297592.0,Luke Fletcher
410,LJ Fletcher,297592.0,Luke Fletcher
411,A John Hose,525992.0,Adam Hose
412,T Mills,459257.0,Tymal Mills
413,JB Lintott,463668.0,Jake Lintott
414,G Garton,643433.0,George Garton
415,Ross Whiteley,288617.0,Ross Whiteley
416,CJ Jordan,288992.0,Chris Jordan
417,Q de Kock,379143.0,Quinton de Kock
418,JA Haynes,1110475.0,Jack Haynes
419,BTJ Wheal,807535.0,Brad Wheal
420,DJB Drummond,422593.0,Daniel Bell-Drummond
421,R Ahmed,1263691.0,Rehan Ahmed
422,TG Helm,512907.0,Tom Helm
423,HJH Brookes,1026379.0,Henry Brookes
424,I Cockbain,297498.0,Ian Cockbain
425,SJ Cook,772061.0,Sam Cook
426,DR Sams,826901.0,Daniel Sams
427,Samit Patel,18632.0,Samit Patel
428,T van der Gugten,333782.0,Timm van der Gugten
429,D Payne,362710.0,David Payne
430,MT Stanley,1145534.0,Mitchell Stanley
431,JT Ball,414990.0,Jake Ball
432,MJ Critchley,776695.0,Matt Critchley
433,DT Moriarty,949561.0,Dan Moriarty
434,MG Hogan,275658.0,Michael Hogan
435,KW Richardson,272262.0,Kane Richardson
436,N Ellis,826915.0,Nathan Ellis
437,CP Wood,310525.0,Chris Wood
438,MS Crane,660889.0,Mason Crane
439,GLS Scrimshaw,857979.0,George Scrimshaw
440,J Bethell,1194959.0,Jacob Bethell
441,JL du Plooy,595739.0,Leus du Plooy
442,ME Milnes,639140.0,Matt Milnes
443,IS Sodhi,559066.0,Ish Sodhi
444,Josh Inglis,662235.0,Josh Inglis
445,PR Brown,891517.0,Pat Brown
446,T Lammonby,902907.0,Tom Lammonby
447,B Dwarshuis,679567.0,Ben Dwarshuis
448,Brett D Oliveria,471202.0,Brett DOliveira
449,A Turner,500268.0,Ashton Turner
450,T Sangha,1170471.0,Tanveer Sangha
451,SG Budinger,1030753.0,Sol Budinger
452,WD Parnell,265564.0,Wayne Parnell
453,CF Parkinson,789729.0,Callum Parkinson
454,NA Sowter,747315.0,Nathan Sowter
455,S Baker,1191192.0,Sonny Baker
456,P Hatzoglou,1191384.0,Peter Hatzoglou
457,CN Miles,407875.0,Craig Miles
458,AU Rashid,244497.0,Adil Rashid
459,DP Conway,379140.0,Devon Conway
460,FH Allen,959759.0,Finn Allen
461,GD Phillips,823509.0,Glenn Phillips
462,S Eskinazi,631668.0,Stephen Eskinazi
463,Max Holden,641387.0,Max Holden
464,DJ Mitchell,381743.0,Daryl Mitchell
465,Luke Wells,350126.0,Luke Wells
466,DJ Worrall,557298.0,Daniel Worrall
467,H Klaasen,436757.0,Heinrich Klaasen
468,Gus Atkinson,1039481.0,Gus Atkinson
469,JC Tongue,857975.0,Josh Tongue
470,Jamie Smith,1096092.0,Jamie Smith
471,Ben Green,755459.0,Ben Green
472,J Overton,510530.0,Jamie Overton
473,Joe Weatherley,748793.0,Joe Weatherley
474,M Short,605575.0,Matthew Short
475,AF Milne,450860.0,Adam Milne
476,BA Carse,596417.0,Brydon Carse
477,Saif Zaib,663613.0,Saif Zaib
478,M  Fisher,639080.0,Matthew Fisher
479,M Fisher,639080.0,Matthew Fisher
480,JM Bairstow,297433.0,Jonny Bairstow
481,CR Woakes,247235.0,Chris Woakes
482,Zak Chappell,865833.0,Zak Chappell
483,SH Johnson,1123718.0,Spencer Johnson
484,John Turner,1261866.0,John Turner
485,Tawanda Muyeye,1260386.0,Tawanda Muyeye
486,MJ Henry,506612.0,Matt Henry
487,LH Ferguson,493773.0,Lockie Ferguson
488,CG Harrison,859899.0,Calvin Harrison
489,MJ Santner,502714.0,Mitchell Santner
490,TG Southee,232364.0,Tim Southee
0,BA King,670035.0,Brandon King
7,SS Cotterell,495551.0,Sheldon Cottrell
12,S Mahmood,643885.0,Saqib Mahmood
17,JO Holder,391485.0,Jason Holder
20,R Shepherd,677077.0,Romario Shepherd
21,DM Bravo,277472.0,Darren Bravo
29,KR Mayers,348056.0,Kyle Mayers
30,MD Gunathilaka,345821.0,Danushka Gunathilaka
32,MA Starc,311592.0,Mitchell Starc
35,AJ Finch,5334.0,Aaron Finch
38,JR Hazlewood,288284.0,Josh Hazlewood
40,SPD Smith,267192.0,Steven Smith
50,PJ Cummins,489889.0,Pat Cummins
53,AC Agar,505120.0,Ashton Agar
54,SA Yadav,446507.0,Suryakumar Yadav
55,V Kohli,253802.0,Virat Kohli
56,IPKP Kishan,720471.0,Ishan Kishan
57,RG Sharma,34102.0,Rohit Sharma
58,VR Iyer,851403.0,Venkatesh Iyer
59,RL Chase,391832.0,Roston Chase
60,RR Pant,931581.0,Rishabh Pant
61,YS Chahal,430246.0,Yuzvendra Chahal
62,HV Patel,390481.0,Harshal Patel
65,RD Gaikwad,1060380.0,Ruturaj Gaikwad
68,KRVP Mishara,1075863.0,Kamil Mishara
70,HR Walsh,443263.0,Hayden Walsh
72,S Iyer,642519.0,Shreyas Iyer
73,S Thakur,475281.0,Shardul Thakur
74,RA Jadeja,234675.0,Ravindra Jadeja
75,JJ Bumrah,625383.0,Jasprit Bumrah
76,SV Samson,425943.0,Sanju Samson
77,DJ Hooda,497121.0,Deepak Hooda
78,K Yadav,559235.0,Kuldeep Yadav
87,T Head,530011.0,Travis Head
88,CD Green,1076713.0,Cameron Green
93,M Labuschagne,787987.0,Marnus Labuschagne
94,DA Warner,219889.0,David Warner
97,MR Marsh,272450.0,Mitchell Marsh
98,Jhye Richardson,774223.0,Jhye Richardson
100,T Bavuma,372116.0,Temba Bavuma
102,KD Karthik,30045.0,Dinesh Karthik
104,HH Pandya,625371.0,Hardik Pandya
107,CR Ervine,55412.0,Craig Ervine
108,M Shumba,951781.0,Milton Shumba
109,H Zazai,793457.0,Hazratullah Zazai
110,B Muzarabani,827051.0,Blessing Muzarabani
111,WN Madhevere,938959.0,Wessly Madhevere
112,I Kaia,465327.0,Innocent Kaia
115,A Ndlovu,596456.0,Ainsley Ndlovu
116,TL Chatara,425639.0,Tendai Chatara
121,LM Jongwe,379140.0,Devon Conway
122,RW Chakabva,293831.0,Regis Chakabva
124,AR Patel,554691.0,Axar Patel
127,DT Tiripano,392945.0,Donald Tiripano
130,RR Hendricks,269280.0,Reeza Hendricks
131,TR Marumani,946507.0,Tadiwanashe Marumani
132,KA Maharaj,267724.0,Keshav Maharaj
133,K Rabada,550215.0,Kagiso Rabada
136,C Madande,1045883.0,Clive Madande
137,AK Zazai,420402.0,Afsar Zazai
138,AA Nortje,481979.0,Anrich Nortje
139,S Ashraf,633362.0,Sharafuddin Ashraf
140,Ihsanullah,703323.0,Ihsanullah
141,N Masood,913843.0,Nijat Masood
143,M Jansen,696401.0,Marco Jansen
144,LT Ngidi,542023.0,Lungi Ngidi
150,SSJ Brooks,230555.0,Shamarh Brooks
155,S Islam,990039.0,Shoriful Islam
159,BS Kumar,326016.0,Bhuvneshwar Kumar
160,A Singh,1125976.0,Arshdeep Singh
161,AM Haque Bijoy,380354.0,Anamul Haque
165,A Khan,694211.0,Avesh Khan
166,R Bishnoi,1175441.0,Ravi Bishnoi
167,U Malik,1246528.0,Umran Malik
169,Dane Cleaver,440517.0,Dane Cleaver
170,LJ Tucker,928057.0,Lorcan Tucker
174,MG Bracewell,326968.0,Michael Bracewell
175,GJ Delany,1099379.0,Gareth Delany
177,MR Adair,526441.0,Mark Adair
178,BJ McCarthy,348059.0,Barry McCarthy
179,CA Young,364343.0,Craig Young
180,HT Tector,961407.0,Harry Tector
181,JA Duffy,547766.0,Jacob Duffy
182,GH Dockrell,348034.0,George Dockrell
189,BM Tickner,854909.0,Blair Tickner
190,AL Phehlukwayo,540316.0,Andile Phehlukwayo
194,SO Hetmyer,670025.0,Shimron Hetmyer
196,AS Joseph,670031.0,Alzarri Joseph
