nvplay_name,name,cricinfo_id
J Sales,James Sales,1259996.0
Toby Albert,Toby Albert,1260388.0
Rob Keogh,Rob Keogh,408413.0
Brett D Oliveria,Brett DOliveira,471202.0
Ross Whiteley,Ross Whiteley,288617.0
Tom Taylor,Tom Taylor,519544.0
JJ Cobb,Josh Cobb,308408.0
C Lynn,Chris Lynn,326637.0
Ricardo Vasconcelos,Ricardo Vasconcelos,696241.0
MT Stanley,Mitchell Stanley,1145534.0
U Mir,Usama Mir,647667.0
Adam Finch,Adam Finch,1026317.0
Adam Hose,Adam Hose,525992.0
DJ Willey,David Willey,308251.0
Kashif Ali,Kashif Ali,1095900.0
JA Haynes,Jack Haynes,1110475.0
MG Bracewell,Michael Bracewell,326968.0
Saif Zaib,Saif Zaib,663613.0
Ed Pollock,Ed Pollock,760015.0
Lewis McManus,Lewis McManus,521170.0
Ben Cox,Ben Cox,417514.0
PJ Malan,Pieter Malan,277390.0
Nick Welch,Nick Welch,696145.0
SG Budinger,Sol Budinger,1030753.0
Arron Lilley,Arron Lilley,520551.0
PWA Mulder,Wiaan Mulder,698189.0
SP Narine,Sunil Narine,230558.0
N Shah,Naseem Shah,1158088.0
CF Parkinson,Callum Parkinson,789729.0
Will Davis,Will Davis,641801.0
PD Salt,Phil Salt,669365.0
R Ahmed,Rehan Ahmed,1263691.0
WG Jacks,Will Jacks,897549.0
Max Holden,Max Holden,641387.0
Rishi Patel,Rishi Patel,857653.0
Harry Swindells,Harry Swindells,882319.0
CN Ackermann,Colin Ackermann,379774.0
Joe Cracknell,Joe Cracknell,1107568.0
RF Higgins,Ryan Higgins,572199.0
J Overton,Jamie Overton,510530.0
LJ Evans,Laurie Evans,256956.0
Jamie Smith,Jamie Smith,1096092.0
SM Curran,Sam Curran,662973.0
S Eskinazi,Stephen Eskinazi,631668.0
Jordan Clark,Jordan Clark,301648.0
Blake Cullen,Blake Cullen,1111984.0
TG Helm,Tom Helm,512907.0
JA Simpson,John Simpson,21440.0
Martin Andersson,Martin Andersson,641385.0
Luke Hollman,Luke Hollman,1096123.0
TK Curran,Tom Curran,550235.0
Nathan Fernandes,Nathan Fernandes,1260075.0
Ben Kellaway,Ben Kellaway,1200126.0
Chris Cooke,Chris Cooke,386774.0
Colin Ingram,Colin Ingram,45705.0
Kiran Carlson,Kiran Carlson,737833.0
Sam Northeast,Sam Northeast,246005.0
Jack Taylor,Jack Taylor,297602.0
Matt Taylor,Matt Taylor,547739.0
Matt Taylor,Matt Taylor,511247.0
Zafar Gohar Khan,Zafar Gohar,348154.0
Graeme van Buuren,Graeme van Buuren,381002.0
Ben Charlesworth,Ben Charlesworth,998369.0
Dan Douthwaite,Dan Douthwaite,885181.0
Eddie Byrom,Eddie Byrom,596371.0
T van der Gugten,Timm van der Gugten,333782.0
Ravi Bopara,Ravi Bopara,10582.0
Zak Chappell,Zak Chappell,865833.0
Alistair Orr,Ali Orr,1260069.0
Tom Clark,Tom Clark,1107572.0
Shadab Khan,Shadab Khan,922943.0
JA Tattersall,Jonathan Tattersall,517247.0
L Gregory,Lewis Gregory,362201.0
T Lammonby,Tom Lammonby,902907.0
A Lees,Alex Lees,460756.0
J Coles,James Coles,1231590.0
Michael Burgess,Michael Burgess,517549.0
G Garton,George Garton,643433.0
Fynn HudsonPrentice,Fynn Hudson-Prentice,571102.0
Fynn Hudson Prentice,Fynn Hudson-Prentice,571102.0
Nathan McAndrew,Nathan McAndrew,785323.0
Prem Sisodiya,Prem Sisodiya,1094992.0
MA Hammond,Miles Hammond,460079.0
Chris Dent,Chris Dent,302269.0
Grant Roelofsen,Grant Roelofsen,699723.0
M  Fisher,Matthew Fisher,639080.0
MG Hogan,Michael Hogan,275658.0
Ben Green,Ben Green,755459.0
Jack Leaning,Jack Leaning,517249.0
C Munro,Colin Munro,232359.0
Graham Clark,Graham Clark,470501.0
Graeme White,Graeme White,23513.0
Matthew Montgomery,Matthew Montgomery,596062.0
