nvplay_name,cricinfo_id,name
A Haque,29403.0,A Haque
Azam Khan,1137262.0,Azam Khan
S Al Hasan,56143.0,Shakib Al Hasan
AD Russell,276298.0,Andre Russell
EC Hossain,932355.0,Ebadot Hossain
K Ahmed,927619.0,Khaled Ahmed
JubairHossain,629066.0,Jubair Hossain
Jubair Hossain,629066.0,Jubair Hossain
Zahiduzzaman,937535.0,Zahiduzzaman
Gulbadin Naib,352048.0,Gulbadin Naib
R Gurbaz,974087.0,Rahmanullah Gurbaz
Tom Kohler Cadmore,470633.0,Tom Kohler-Cadmore
AC Jayed,410763.0,Abu Jayed
AR Hider,550137.0,Abu Hider
M Haris,1205559.0,Mohammad Haris
Mohammad Akbar Ali,990147.0,Akbar Ali
H Rahman,1352980.0,Habibur Rahman Sohan
H Rahman,1352980.0,Habibur Rahman Sohan
U Khan,1123428.0,Usman Khan
MP O'Dowd,643197.0,Max ODowd
Arafat Sunny,56268.0,Arafat Sunny
Mashrafe Mortaza,56007.0,Mashrafe Mortaza
T Ahmed,538506.0,Taskin Ahmed
Imad Wasim,227758.0,Imad Wasim
I Zadran,921509.0,Ibrahim Zadran
Robiul Haque,1123787.0,Robiul Haque
A Hossain,511532.0,Al-Amin Hossain
A Omarzai,819429.0,Azmatullah Omarzai
SP Narine,230558.0,Sunil Narine
Ripon M Mondol,1276980.0,Ripon Mondol
NM Ul-Haq,793447.0,Naveen-ul-Haq
D Pretorius,327830.0,Dwaine Pretorius
Andre Fletcher,51862.0,Andre Fletcher
PBB Rajapaksa,342619.0,Bhanuka Rajapaksa
N Pooran,604302.0,Nicholas Pooran
DJ Bravo,51439.0,Dwayne Bravo
M Ur Rahman,974109.0,Mujeeb Ur Rahman
Shafiqullah Ghafari,1176738.0,Shafiqullah Ghafari
GF Linde,481875.0,George Linde
I Udana,328026.0,Isuru Udana
Rubel Hossain,300619.0,Rubel Hossain
MM Ali,8917.0,Moeen Ali
MD Shanaka,437316.0,Dasun Shanaka
Saim Ayub,1161031.0,Saim Ayub
N Ahmed,348049.0,Nasum Ahmed
A Butt,717373.0,Amad Butt
Ziaur Rahman,56167.0,Ziaur Rahman
S Hossain,1161044.0,Shamim Hossain
Kamrul Islam Rabbi,375724.0,Kamrul Islam
Sunzamul Islam,380974.0,Sunzamul Islam
Ziaur Rahman,1015399.0,Ziaur Rahman
M Pushpakumara,50205.0,Malinda Pushpakumara
Tanvir Islam,932665.0,Tanvir Islam
Qazi Onik,864553.0,Qazi Onik
Amir Hamza,402245.0,Amir Hamza
M Rizwan,323389.0,Mohammad Rizwan
Chadwick Walton,315586.0,Chadwick Walton
Nayeem Hasan,932635.0,Nayeem Hasan
Mizanur Rahman,329845.0,Mizanur Rahman
M Imran Randhawa,916727.0,Mohammad Imran
M Al Amin,549947.0,Al-Amin
L Wood,573170.0,Luke Wood
SW Billings,297628.0,Sam Billings
Nazmul Islam,446810.0,Nazmul Islam
J Charles,333066.0,Johnson Charles
Mukidul Islam,990165.0,Mukidul Islam
I Sukkur,400587.0,Irfan Sukkur
M Chowdhury,1012137.0,Mrittunjoy Chowdhury
Robin Das,1149211.0,Robin Das
MR Hasan,878465.0,Mehedi Hasan Rana
H Mahmud,926629.0,Hasan Mahmud
Mammudul Hasan Joy,1161381.0,Mahmudul Hasan Joy
Rakibul Hasan,1012131.0,Rakibul Hasan
M Sharifullah,280735.0,Sharifullah
Munim Shahriar,549950.0,Munim Shahriar
M Nawaz,348148.0,Mohammad Nawaz
PMH Emon,1139511.0,Parvez Hossain Emon
H Rauf,1161606.0,Haris Rauf
M Nihaduzzaman,629065.0,Nihaduzzaman
Farhad Reza,55894.0,Farhad Reza
Khawaja Nafay,1329699.0,Khawaja Nafay
Saif Hassan,821749.0,Saif Hassan
N Shah,1158088.0,Naseem Shah
Tawfique Khan,933173.0,Tawfique Khan
V Viyaskanth,1153149.0,Vijayakanth Viyaskanth
T Islam,401057.0,Taijul Islam
Mukhtar Ali,269332.0,Muktar Ali
Muktar Ali,269332.0,Muktar Ali
SD Hope,581379.0,Shai Hope
S Irshad,781705.0,Salman Irshad
Nahid Rana,1210511.0,Nahid Rana
M Wasim,1185538.0,Mohammad Wasim
TJ Moores,788101.0,Tom Moores
Alex Blake,243944.0,Alex Blake
Tanzim H Sakib,1139520.0,Tanzim Hasan Sakib
Mohammad Amir,290948.0,Mohammad Amir
Rejaur Rahman Raja,1163488.0,Rejaur Rahman Raja
Mehedi Hasan Maruf,228210.0,Mehedi Maruf
C Campher,595921.0,Curtis Campher
Salman Hossain Emon,537613.0,Salman Hossain
RP Burl,495964.0,Ryan Burl
A Balbirnie,303423.0,Andy Balbirnie
M Deyal,848623.0,Mark Deyal
Shafiqul Islam,932763.0,Shafiqul Islam
Abdullah A Mamun,1277007.0,Abdullah Al Mamun
M Shahriar,549950.0,Munim Shahriar
