,nvplay_name,Match,Date,cricinfo_id,name
30,Tom Kohler Cadmore,MI Emirates v Sharjah Warriors,14/01/2023,,
26,R Gurbaz,MI Emirates v Sharjah Warriors,14/01/2023,,
27,E Lewis,MI Emirates v Sharjah Warriors,14/01/2023,,
28,DJ Malan,MI Emirates v Sharjah Warriors,14/01/2023,,
32,M Nabi,MI Emirates v Sharjah Warriors,14/01/2023,,
33,CR Woakes,MI Emirates v Sharjah Warriors,14/01/2023,,
34,MJ Siddique,MI Emirates v Sharjah Warriors,14/01/2023,,
35,NM Ul-Haq,MI Emirates v Sharjah Warriors,14/01/2023,,
29,MM Ali,MI Emirates v Sharjah Warriors,14/01/2023,,
31,JL Denly,MI Emirates v Sharjah Warriors,14/01/2023,,
36,Matiullah Khan,Abu Dhabi Knight Riders v Gulf Giants,15/01/2023,1241201.0,Matiullah Khan
37,JM Vince,Abu Dhabi Knight Riders v Gulf Giants,15/01/2023,,
38,R Ahmed,Abu Dhabi Knight Riders v Gulf Giants,15/01/2023,,
40,MG Erasmus,Abu Dhabi Knight Riders v Gulf Giants,15/01/2023,,
39,OJD Pope,Abu Dhabi Knight Riders v Gulf Giants,15/01/2023,,
43,R Mustafa,Desert Vipers v Sharjah Warriors,15/01/2023,,
44,AD Hales,Desert Vipers v Sharjah Warriors,15/01/2023,,
45,C Munro,Desert Vipers v Sharjah Warriors,15/01/2023,,
111,T Mills,Desert Vipers v Sharjah Warriors,15/01/2023,,
46,SW Billings,Desert Vipers v Sharjah Warriors,15/01/2023,,
47,SE Rutherford,Desert Vipers v Sharjah Warriors,15/01/2023,,
41,D Wiese,Abu Dhabi Knight Riders v Gulf Giants,15/01/2023,,
42,SO Hetmyer,Abu Dhabi Knight Riders v Gulf Giants,15/01/2023,,
48,MD Shanaka,Dubai Capitals v Gulf Giants,16/01/2023,,
49,Hazrat Luqman,Dubai Capitals v Gulf Giants,16/01/2023,1241269.0,Hazrat Luqman
52,NL Ahmad,Sharjah Warriors v MI Emirates,17/01/2023,,
50,Alishan Sharafu,Sharjah Warriors v MI Emirates,17/01/2023,1161038.0,Alishan Sharafu
51,PI Walter,Sharjah Warriors v MI Emirates,17/01/2023,,
55,KIC Asalanka,Abu Dhabi Knight Riders v Desert Vipers,18/01/2023,,
54,DM de Silva,Abu Dhabi Knight Riders v Desert Vipers,18/01/2023,,
53,Kennar Lewis,Abu Dhabi Knight Riders v Desert Vipers,18/01/2023,537319.0,Kennar Lewis
59,Chirag Suri,Dubai Capitals v Gulf Giants,19/01/2023,534734.0,Chirag Suri
56,C Lynn,Dubai Capitals v Gulf Giants,19/01/2023,,
57,LA Dawson,Dubai Capitals v Gulf Giants,19/01/2023,,
58,CJ Jordan,Dubai Capitals v Gulf Giants,19/01/2023,,
60,FA Allen,Dubai Capitals v Gulf Giants,19/01/2023,,
61,C Karunaratne,Dubai Capitals v Gulf Giants,19/01/2023,,
62,M Ur Rahman,Dubai Capitals v Gulf Giants,19/01/2023,,
63,Raja Akifullah,Dubai Capitals v Gulf Giants,19/01/2023,,
64,TK Curran,Abu Dhabi Knight Riders v Desert Vipers,20/01/2023,,
65,L Kumara,Abu Dhabi Knight Riders v Desert Vipers,20/01/2023,,
66,D Lawrence,Dubai Capitals v Sharjah Warriors,21/01/2023,,
67,RA Reifer,Abu Dhabi Knight Riders v MI Emirates,21/01/2023,,
68,T Banton,Desert Vipers v Gulf Giants,22/01/2023,,
69,Samit Patel,Dubai Capitals v MI Emirates,22/01/2023,18632.0,Samit Patel
70,AA Khan,Gulf Giants v Sharjah Warriors,23/01/2023,,
72,RJ Gleeson,Gulf Giants v Sharjah Warriors,23/01/2023,,
71,SM Sharma,Gulf Giants v Sharjah Warriors,23/01/2023,,
73,V Aravind,Desert Vipers v MI Emirates,24/01/2023,,
112,BTJ Wheal,Desert Vipers v MI Emirates,24/01/2023,,
74,H Zazai,Sharjah Warriors v Dubai Capitals,26/01/2023,,
75,J Clarke,Sharjah Warriors v Abu Dhabi Knight Riders,28/01/2023,,
76,MP Stoinis,Sharjah Warriors v Abu Dhabi Knight Riders,28/01/2023,,
77,Adam Hose,Sharjah Warriors v Abu Dhabi Knight Riders,28/01/2023,525992.0,Adam Hose
78,PW Hasaranga,Dubai Capitals v Desert Vipers,28/01/2023,,
79,Gus Atkinson,Dubai Capitals v Desert Vipers,28/01/2023,1039481.0,Gus Atkinson
80,AA Naseer,Dubai Capitals v Desert Vipers,28/01/2023,,
81,SS Cottrell,Dubai Capitals v Desert Vipers,28/01/2023,,
113,JT Ball,Dubai Capitals v Desert Vipers,28/01/2023,,
85,MRJ Watt,Desert Vipers v MI Emirates,29/01/2023,,
86,M Pathirana,Desert Vipers v MI Emirates,29/01/2023,,
87,Shiraz Ahmed,Desert Vipers v MI Emirates,29/01/2023,1206625.0,Shiraz Ahmed
82,DR Mousley,Desert Vipers v MI Emirates,29/01/2023,,
83,Benny Howell,Desert Vipers v MI Emirates,29/01/2023,211748.0,Benny Howell
84,L Wood,Desert Vipers v MI Emirates,29/01/2023,,
89,Niroshan Dickwella,Abu Dhabi Knight Riders v Dubai Capitals,30/01/2023,429754.0,Niroshan Dickwella
88,HG Munsey,Abu Dhabi Knight Riders v Dubai Capitals,30/01/2023,,
