,player,Match,Date,cricinfo_id
24,J Rodrigues,Delhi Capitals Women v Royal Challengers Bangalore Women,05/03/2023,883405
25,S Mandhana,Delhi Capitals Women v Royal Challengers Bangalore Women,05/03/2023,597806.0
26,Sophie Devine,Delhi Capitals Women v Royal Challengers Bangalore Women,05/03/2023,231740.0
27,Ellyse Perry,Delhi Capitals Women v Royal Challengers Bangalore Women,05/03/2023,275487.0
28,Disha Kasat,Delhi Capitals Women v Royal Challengers Bangalore Women,05/03/2023,961183.0
29,Richa Ghosh,Delhi Capitals Women v Royal Challengers Bangalore Women,05/03/2023,1212830.0
30,Heather Knight,Delhi Capitals Women v Royal Challengers Bangalore Women,05/03/2023,358259.0
31,Kanika Ahuja,Delhi Capitals Women v Royal Challengers Bangalore Women,05/03/2023,1255560.0
32,Asha Sobhana,Delhi Capitals Women v Royal Challengers Bangalore Women,05/03/2023,550687
33,Megan Schutt,Delhi Capitals Women v Royal Challengers Bangalore Women,05/03/2023,420314.0
34,Preeti Bose,Delhi Capitals Women v Royal Challengers Bangalore Women,05/03/2023,709843.0
35,SIR Dunkley,Gujarat Giants Women v UP Warriorz Women,05/03/2023,885815.0
36,Sushma Verma Devi,Gujarat Giants Women v UP Warriorz Women,05/03/2023,597821.0
37,Alyssa Healy,Gujarat Giants Women v UP Warriorz Women,05/03/2023,275486.0
38,SS Sehrawat,Gujarat Giants Women v UP Warriorz Women,05/03/2023,1255442
39,K Navgire,Gujarat Giants Women v UP Warriorz Women,05/03/2023,1289983
40,Tahlia McGrath,Gujarat Giants Women v UP Warriorz Women,05/03/2023,381311.0
41,D Sharma,Gujarat Giants Women v UP Warriorz Women,05/03/2023,597811
42,Grace Harris,Gujarat Giants Women v UP Warriorz Women,05/03/2023,381268.0
43,Simran Shaikh,Gujarat Giants Women v UP Warriorz Women,05/03/2023,1255541.0
44,DP Vaidya,Gujarat Giants Women v UP Warriorz Women,05/03/2023,709837.0
45,Sophie Ecclestone,Gujarat Giants Women v UP Warriorz Women,05/03/2023,878039.0
46,Shreyanka Patil,Royal Challengers Bangalore Women v Mumbai Indians Women,06/03/2023,1289948.0
47,Renuka Singh,Royal Challengers Bangalore Women v Mumbai Indians Women,06/03/2023,960853.0
48,Alice Capsey,Delhi Capitals Women v UP Warriorz Women,07/03/2023,1187120.0
49,Jess Jonassen,Delhi Capitals Women v UP Warriorz Women,07/03/2023,374936.0
50,KJ Garth,Gujarat Giants Women v Royal Challengers Bangalore Women,08/03/2023,418423.0
51,Poonam Khemnar,Gujarat Giants Women v Royal Challengers Bangalore Women,08/03/2023,1289979.0
52,Minnu Mani,Delhi Capitals Women v Mumbai Indians Women,09/03/2023,960949.0
53,R Yadav,Delhi Capitals Women v Mumbai Indians Women,09/03/2023,960737
54,T Bhatia,Delhi Capitals Women v Mumbai Indians Women,09/03/2023,883423.0
55,SS Pandey,Delhi Capitals Women v Mumbai Indians Women,09/03/2023,442145
56,Tara Norris,Delhi Capitals Women v Mumbai Indians Women,09/03/2023,872217.0
57,Erin Burns,Royal Challengers Bangalore Women v UP Warriorz Women,10/03/2023,275447.0
58,Komal Zanzad,Royal Challengers Bangalore Women v UP Warriorz Women,10/03/2023,961195.0
59,Sahana Pawar,Royal Challengers Bangalore Women v UP Warriorz Women,10/03/2023,960931.0
60,L Wolvaardt,Gujarat Giants Women v Delhi Capitals Women,11/03/2023,922481.0
61,Humaira Kazi,Mumbai Indians Women v Gujarat Giants Women,14/03/2023,961005.0
62,Dhara Gujjar,Mumbai Indians Women v Gujarat Giants Women,14/03/2023,1255408.0
63,AB Kaur,Mumbai Indians Women v Gujarat Giants Women,14/03/2023,1255411.0
64,Jintimani Kalita,Mumbai Indians Women v Gujarat Giants Women,14/03/2023,1255387.0
65,KA Sarvani,UP Warriorz Women v Royal Challengers Bangalore Women,15/03/2023,960673
66,R Gayakwad,UP Warriorz Women v Royal Challengers Bangalore Women,15/03/2023,709635
67,Arundhati,Delhi Capitals Women v Gujarat Giants Women,16/03/2023,960867
68,Poonam Yadav,Delhi Capitals Women v Gujarat Giants Women,16/03/2023,630972.0
69,S Ishaque,Mumbai Indians Women v UP Warriorz Women,18/03/2023,597815.0
70,Ashwani Kumari,Gujarat Giants Women v UP Warriorz Women,20/03/2023,1345792.0
71,P Chopra,Mumbai Indians Women v UP Warriorz Women,24/03/2023,500135.0
72,Jakob Bhula,MI Global A v SACA,04/08/2023,1129632.0
73,I Mohammad,MI Global A v SACA,04/08/2023,11111111118.0
74,Zen Malik,MI Global A v SACA,04/08/2023,910361.0
75,Amrit Basra,MI Global A v SACA,04/08/2023,1259994.0
76,Daaryoush Ahmed,MI Global A v SACA,04/08/2023,1311039.0
77,Vikai Kelley,MI Global A v SACA,04/08/2023,1231047.0
78,Monaam Abbas,MI Global A v SACA,04/08/2023,1191366.0
79,Mohammed Rizvi,MI Global A v SACA,04/08/2023,1178783.0
80,H Khan,MI Global A v SACA,04/08/2023,11111111122.0
81,Adam Patel,MI Global A v SACA,04/08/2023,11111111120.0
82,Vishnu Vinod,MI Global A v SACA,04/08/2023,732293.0
83,Ryan Rickelton,MI Global A v SACA,04/08/2023,605661.0
84,Naman Dhir,MI Global A v SACA,04/08/2023,1287032.0
85,D Lakra,MI Global A v SACA,04/08/2023,11111111113.0
86,Delano Potgieter,MI Global A v SACA,04/08/2023,596442.0
87,Hrithik Shokeen,MI Global A v SACA,04/08/2023,1175423.0
88,Arshad Khan,MI Global A v SACA,04/08/2023,39005.0
89,Arshad Khan,MI Global A v SACA,04/08/2023,1244751.0
90,Manav Suthar,MI Global A v SACA,04/08/2023,1175426.0
91,Luvnith Sisodia,MI Global B v SACA,04/08/2023,1155253.0
92,Akash Pandey,MI Global B v SACA,04/08/2023,1246443.0
93,Yudhvir Singh,MI Global B v SACA,04/08/2023,1206052.0
94,Nehal Wadhera,MI Global B v SACA,04/08/2023,1151273.0
95,Ramandeep Singh,MI Global B v SACA,04/08/2023,1079470.0
96,Beyers Swanepoel,MI Global B v SACA,04/08/2023,698319.0
97,Shams Mulani,MI Global B v SACA,04/08/2023,1131607.0
98,Pukhraj Mann,MI Global B v SACA,04/08/2023,1299843.0
99,R Minz,MI Global B v SACA,04/08/2023,11111111111.0
100,M Rizwi,MI Global B v SACA,04/08/2023,11111111123.0
101,Piyush Chawla,MI Global B v Scotland A,09/08/2023,32966.0
102,Vaisakh Chandran,MI Global B v Scotland A,09/08/2023,1287068.0
103,Ollie Hairs,MI Global B v Scotland A,09/08/2023,414973.0
104,Liam Naylor,MI Global B v Scotland A,09/08/2023,1195683.0
105,Michael English,MI Global B v Scotland A,09/08/2023,470900.0
106,Christopher McBride,MI Global B v Scotland A,09/08/2023,1027779.0
107,Brandon McMullen,MI Global B v Scotland A,09/08/2023,949473.0
108,Jack Jarvis,MI Global B v Scotland A,09/08/2023,1278263.0
109,T Ahmad,MI Global B v Scotland A,09/08/2023,11111111119.0
110,Jasper Davidson,MI Global B v Scotland A,09/08/2023,1195676.0
111,Angus Guy,MI Global B v Scotland A,09/08/2023,1195673.0
112,James Dickinson,MI Global B v Scotland A,09/08/2023,1112224.0
113,Oliver Davidson,MI Global B v Scotland A,09/08/2023,1278259.0
114,Rohit Rayudu,MI Global A v Scotland A,09/08/2023,1083493.0
115,Sushant Mishra,MI Global A v Scotland A,09/08/2023,1175457.0
116,R Kumar,MI Global A v Scotland A,09/08/2023,11111111115.0
117,R Kumar,MI Global A v Scotland A,09/08/2023,1198945.0
118,Ayush Shukla,MI Global A v Scotland A,09/08/2023,1167779.0
119,S Crawley,MI Global A v Scotland A,09/08/2023,11111111112.0
120,Scott Steel,MI Global A v Scotland A,11/08/2023,1029993.0
121,Finlay McCreath,MI Global A v Scotland A,11/08/2023,964085.0
122,Michael Leask,MI Global A v Scotland A,11/08/2023,414966.0
123,Alasdair Evans,MI Global A v Scotland A,11/08/2023,399259.0
124,William Smale,Glamorgan v Mumbai Indians,14/08/2023,1158596.0
125,Ben Kellaway,Glamorgan v Mumbai Indians,14/08/2023,1200126.0
126,Callum Taylor,Glamorgan v Mumbai Indians,14/08/2023,1096822.0
127,Callum Taylor,Glamorgan v Mumbai Indians,14/08/2023,654797.0
128,Morgan Bevans,Glamorgan v Mumbai Indians,14/08/2023,1188372.0
129,Asa Tribe,Glamorgan v Mumbai Indians,14/08/2023,1195664.0
130,Henry Hurle,Glamorgan v Mumbai Indians,14/08/2023,1276118.0
131,H Bist,Glamorgan v Mumbai Indians,14/08/2023,11111111116.0
132,Waqar Salamkheil,Glamorgan 2nd XI v Mumbai Indians,14/08/2023,1108490.0
133,Thomas Bevan,Glamorgan 2nd XI v Mumbai Indians,14/08/2023,1104894.0
134,Alex Horton,Glamorgan 2nd XI v Mumbai Indians,14/08/2023,1147983.0
135,Callum Rhys Nicholls,Glamorgan 2nd XI v Mumbai Indians,14/08/2023,1260391.0
136,Kumar Kartikeya,MI Global A v MI Global B,16/08/2023,1159843.0
137,S Painkra,MI Global A v MI Global B,16/08/2023,11111111117.0
138,J Clarke,Southern Brave v Welsh Fire,03/08/2022,571911
139,OJD Pope,Southern Brave v Welsh Fire,03/08/2022,887207
140,T Banton,Southern Brave v Welsh Fire,03/08/2022,877051.0
141,SR Hain,Southern Brave v Welsh Fire,03/08/2022,555850.0
142,BM Duckett,Southern Brave v Welsh Fire,03/08/2022,521637.0
143,JJ Cobb,Southern Brave v Welsh Fire,03/08/2022,308408.0
144,RF Higgins,Southern Brave v Welsh Fire,03/08/2022,572199.0
145,A Zampa,Southern Brave v Welsh Fire,03/08/2022,379504.0
146,NL Ahmad,Southern Brave v Welsh Fire,03/08/2022,1182529
147,AL Davies,Southern Brave v Welsh Fire,03/08/2022,516039.0
148,JM Vince,Southern Brave v Welsh Fire,03/08/2022,296597.0
149,MP Stoinis,Southern Brave v Welsh Fire,03/08/2022,325012.0
150,Z Crawley,Oval Invincibles v London Spirit,04/08/2022,665053.0
151,AM Rossington,Oval Invincibles v London Spirit,04/08/2022,457280.0
152,GJ Maxwell,Oval Invincibles v London Spirit,04/08/2022,325026.0
153,D Lawrence,Oval Invincibles v London Spirit,04/08/2022,641423
154,EJG Morgan,Oval Invincibles v London Spirit,04/08/2022,24598.0
155,KA Pollard,Oval Invincibles v London Spirit,04/08/2022,230559.0
156,Jordan Thompson,Oval Invincibles v London Spirit,04/08/2022,766809.0
157,LA Dawson,Oval Invincibles v London Spirit,04/08/2022,211855.0
158,JJ Roy,Oval Invincibles v London Spirit,04/08/2022,298438.0
159,SM Curran,Oval Invincibles v London Spirit,04/08/2022,662973.0
160,WG Jacks,Oval Invincibles v London Spirit,04/08/2022,897549.0
161,SW Billings,Oval Invincibles v London Spirit,04/08/2022,297628.0
162,J Cox,Oval Invincibles v London Spirit,04/08/2022,1112537
163,HWR Cartwright,Oval Invincibles v London Spirit,04/08/2022,557295.0
164,TK Curran,Oval Invincibles v London Spirit,04/08/2022,550235.0
165,SP Narine,Oval Invincibles v London Spirit,04/08/2022,230558.0
166,Danny Briggs,Oval Invincibles v London Spirit,04/08/2022,310107.0
167,JC Buttler,Manchester Originals v Northern Superchargers,05/08/2022,308967.0
168,PD Salt,Manchester Originals v Northern Superchargers,05/08/2022,669365.0
169,WL Madsen,Manchester Originals v Northern Superchargers,05/08/2022,46543.0
170,AD Russell,Manchester Originals v Northern Superchargers,05/08/2022,276298.0
171,PI Walter,Manchester Originals v Northern Superchargers,05/08/2022,909225.0
172,LJ Evans,Manchester Originals v Northern Superchargers,05/08/2022,256956.0
173,Adam Lyth,Manchester Originals v Northern Superchargers,05/08/2022,251721.0
174,F du Plessis,Manchester Originals v Northern Superchargers,05/08/2022,44828.0
175,MKS Pepper,Manchester Originals v Northern Superchargers,05/08/2022,772293
176,HC Brook,Manchester Originals v Northern Superchargers,05/08/2022,911707.0
177,DJ Willey,Manchester Originals v Northern Superchargers,05/08/2022,308251.0
178,D Wiese,Manchester Originals v Northern Superchargers,05/08/2022,221140.0
179,W Smeed,Trent Rockets v Birmingham Phoenix,06/08/2022,1099224
180,MA Hammond,Trent Rockets v Birmingham Phoenix,06/08/2022,460079
181,MM Ali,Trent Rockets v Birmingham Phoenix,06/08/2022,8917.0
182,LS Livingstone,Trent Rockets v Birmingham Phoenix,06/08/2022,403902.0
183,DR Mousley,Trent Rockets v Birmingham Phoenix,06/08/2022,1172968.0
184,CG Benjamin,Trent Rockets v Birmingham Phoenix,06/08/2022,1149157.0
185,Benny Howell,Trent Rockets v Birmingham Phoenix,06/08/2022,211748.0
186,G Van Burren,Trent Rockets v Birmingham Phoenix,06/08/2022,381002
187,AD Hales,Trent Rockets v Birmingham Phoenix,06/08/2022,249866.0
188,DJ Malan,Trent Rockets v Birmingham Phoenix,06/08/2022,236489.0
189,C Munro,Trent Rockets v Birmingham Phoenix,06/08/2022,232359.0
190,JE Root,Trent Rockets v Birmingham Phoenix,06/08/2022,303669.0
191,Tom Kohler Cadmore,Trent Rockets v Birmingham Phoenix,06/08/2022,470633
192,L Gregory,Trent Rockets v Birmingham Phoenix,06/08/2022,362201.0
193,RR Rossouw,Welsh Fire v Oval Invincibles,07/08/2022,318845.0
194,DA Miller,Welsh Fire v Oval Invincibles,07/08/2022,321777.0
195,Ravi Bopara,London Spirit v Manchester Originals,08/08/2022,10582.0
196,T Stubbs,London Spirit v Manchester Originals,08/08/2022,595978.0
197,SA Abbott,London Spirit v Manchester Originals,08/08/2022,398666.0
198,TW Hartley,London Spirit v Manchester Originals,08/08/2022,1150772.0
199,FJ Klaassen,London Spirit v Manchester Originals,08/08/2022,1104703.0
200,Matthew Parkinson,London Spirit v Manchester Originals,08/08/2022,653695
201,DJ Bravo,Northern Superchargers v Trent Rockets,09/08/2022,51439.0
202,JA Simpson,Northern Superchargers v Trent Rockets,09/08/2022,54568.0
203,JA Simpson,Northern Superchargers v Trent Rockets,09/08/2022,21440.0
204,A John Hose,Northern Superchargers v Trent Rockets,09/08/2022,525992
205,RE van der Merwe,Northern Superchargers v Trent Rockets,09/08/2022,47850.0
206,BA Raine,Northern Superchargers v Trent Rockets,09/08/2022,459761.0
207,MS Wade,Birmingham Phoenix v Southern Brave,10/08/2022,230193.0
208,Q de Kock,Birmingham Phoenix v Southern Brave,10/08/2022,379143.0
209,TH David,Birmingham Phoenix v Southern Brave,10/08/2022,892749.0
210,Ross Whiteley,Birmingham Phoenix v Southern Brave,10/08/2022,288617.0
211,JK Fuller,Birmingham Phoenix v Southern Brave,10/08/2022,451782.0
212,G Garton,Birmingham Phoenix v Southern Brave,10/08/2022,643433
213,CJ Jordan,Birmingham Phoenix v Southern Brave,10/08/2022,288992.0
214,JB Lintott,Birmingham Phoenix v Southern Brave,10/08/2022,463668.0
215,T Mills,Birmingham Phoenix v Southern Brave,10/08/2022,459257
216,JA Haynes,Oval Invincibles v Northern Superchargers,11/08/2022,1110475.0
217,DJB Drummond,Southern Brave v London Spirit,12/08/2022,422593
218,R Ahmed,Southern Brave v London Spirit,12/08/2022,1263691
219,I Cockbain,Manchester Originals v Trent Rockets,13/08/2022,297498
220,TG Helm,Welsh Fire v Birmingham Phoenix,13/08/2022,512907.0
221,HJH Brookes,Welsh Fire v Birmingham Phoenix,13/08/2022,1026379.0
222,D Pretorius,Welsh Fire v Birmingham Phoenix,13/08/2022,327830.0
223,D Pretorius,Welsh Fire v Birmingham Phoenix,13/08/2022,46784.0
224,Samit Patel,Birmingham Phoenix v Trent Rockets,15/08/2022,18632.0
225,DR Sams,Birmingham Phoenix v Trent Rockets,15/08/2022,826901.0
226,MJ Critchley,Manchester Originals v Welsh Fire,16/08/2022,776695
227,D Payne,Manchester Originals v Welsh Fire,16/08/2022,362710
228,JT Ball,Manchester Originals v Welsh Fire,16/08/2022,414990.0
229,DT Moriarty,Southern Brave v Manchester Originals,18/08/2022,949561
230,MG Hogan,Southern Brave v Manchester Originals,18/08/2022,275658.0
231,KW Richardson,Birmingham Phoenix v Northern Superchargers,19/08/2022,272262.0
232,Imran Tahir,Birmingham Phoenix v Northern Superchargers,19/08/2022,40618.0
233,B McDermott,Trent Rockets v London Spirit,20/08/2022,603410
234,N Ellis,Trent Rockets v London Spirit,20/08/2022,826915
235,CP Wood,Trent Rockets v London Spirit,20/08/2022,310525.0
236,MS Crane,Trent Rockets v London Spirit,20/08/2022,660889.0
237,TJ Moores,Trent Rockets v London Spirit,20/08/2022,788101.0
238,CN Ackermann,Northern Superchargers v Manchester Originals,21/08/2022,379774.0
239,J Bethell,Welsh Fire v Southern Brave,22/08/2022,1194959
240,JL du Plooy,Welsh Fire v Southern Brave,22/08/2022,595739.0
241,GLS Scrimshaw,Welsh Fire v Southern Brave,22/08/2022,857979.0
242,PR Stirling,Welsh Fire v Southern Brave,22/08/2022,303427.0
243,ME Milnes,Oval Invincibles v Birmingham Phoenix,23/08/2022,639140.0
244,M Hasnain,Oval Invincibles v Birmingham Phoenix,23/08/2022,1158100
245,IS Sodhi,London Spirit v Welsh Fire,24/08/2022,559066.0
246,Josh Inglis,London Spirit v Oval Invincibles,27/08/2022,662235.0
247,A Turner,Birmingham Phoenix v Manchester Originals,28/08/2022,7989.0
248,T Lammonby,Birmingham Phoenix v Manchester Originals,28/08/2022,902907
249,Brett D Oliveria,Birmingham Phoenix v Manchester Originals,28/08/2022,471202
250,B Dwarshuis,Birmingham Phoenix v Manchester Originals,28/08/2022,679567
251,SG Budinger,London Spirit v Birmingham Phoenix,30/08/2022,1030753.0
252,T Sangha,London Spirit v Birmingham Phoenix,30/08/2022,1170471.0
253,WD Parnell,Northern Superchargers v Southern Brave,31/08/2022,265564.0
254,AU Rashid,Northern Superchargers v Southern Brave,31/08/2022,244497.0
255,CN Miles,Northern Superchargers v Southern Brave,31/08/2022,407875.0
256,S Baker,Northern Superchargers v Southern Brave,31/08/2022,1191192.0
257,P Hatzoglou,Manchester Originals v Oval Invincibles,31/08/2022,1191384.0
258,NA Sowter,Manchester Originals v Oval Invincibles,31/08/2022,747315.0
259,RJ Gleeson,Trent Rockets v Manchester Originals,03/09/2022,473191.0
260,JB Little,Trent Rockets v Manchester Originals,03/09/2022,928067.0
261,M Carter,Trent Rockets v Manchester Originals,03/09/2022,631545.0
262,L Wood,Trent Rockets v Manchester Originals,03/09/2022,573170.0
263,Imad Wasim,Trent Rockets v Southern Brave,01/08/2023,227758.0
264,FH Allen,Trent Rockets v Southern Brave,01/08/2023,959759.0
265,DP Conway,Trent Rockets v Southern Brave,01/08/2023,379140.0
266,C Overton,Trent Rockets v Southern Brave,01/08/2023,464626.0
267,Luke Wells,Welsh Fire v Manchester Originals,02/08/2023,350126.0
268,GD Phillips,Welsh Fire v Manchester Originals,02/08/2023,823509.0
269,S Eskinazi,Welsh Fire v Manchester Originals,02/08/2023,631668
270,Max Holden,Welsh Fire v Manchester Originals,02/08/2023,641387.0
271,DJ Mitchell,London Spirit v Oval Invincibles,02/08/2023,381743.0
272,DJ Worrall,London Spirit v Oval Invincibles,02/08/2023,557298.0
273,H Klaasen,London Spirit v Oval Invincibles,02/08/2023,436757.0
274,Gus Atkinson,London Spirit v Oval Invincibles,02/08/2023,1039481.0
275,Jamie Smith,Northern Superchargers v Birmingham Phoenix,03/08/2023,1096092.0
276,Shadab Khan,Northern Superchargers v Birmingham Phoenix,03/08/2023,922943.0
277,Tom Abell,Southern Brave v Welsh Fire,04/08/2023,462727.0
278,Ben Green,Southern Brave v Welsh Fire,04/08/2023,755459.0
279,J Overton,Manchester Originals v London Spirit,05/08/2023,510530.0
280,M Short,Northern Superchargers v Southern Brave,06/08/2023,546083.0
281,Joe Weatherley,Northern Superchargers v Southern Brave,06/08/2023,748793.0
282,Shaheen Shah Afridi,Welsh Fire v Oval Invincibles,06/08/2023,1072470.0
283,U Mir,Manchester Originals v Birmingham Phoenix,07/08/2023,647667
284,AF Milne,Manchester Originals v Birmingham Phoenix,07/08/2023,450860.0
285,Saif Zaib,Northern Superchargers v Trent Rockets,09/08/2023,663613.0
286,BA Carse,Northern Superchargers v Trent Rockets,09/08/2023,596417.0
287,CF Parkinson,Oval Invincibles v Northern Superchargers,11/08/2023,789729.0
288,JM Bairstow,Welsh Fire v Southern Brave,12/08/2023,297433.0
289,H Rauf,Welsh Fire v Southern Brave,12/08/2023,1161606
290,RJW Topley,Manchester Originals v Northern Superchargers,13/08/2023,461632.0
291,CR Woakes,Birmingham Phoenix v Oval Invincibles,13/08/2023,247235.0
292,Zak Chappell,Birmingham Phoenix v Oval Invincibles,13/08/2023,865833.0
293,SH Johnson,Birmingham Phoenix v Oval Invincibles,13/08/2023,1123718.0
294,MJ Potts,London Spirit v Northern Superchargers,18/08/2023,1027781.0
295,Tawanda Muyeye,Oval Invincibles v Southern Brave,19/08/2023,1260386.0
296,JDS Neesham,Oval Invincibles v Trent Rockets,21/08/2023,355269.0
297,CG Harrison,Manchester Originals v Southern Brave,23/08/2023,859899.0
298,TG Southee,Birmingham Phoenix v London Spirit,24/08/2023,232364.0
299,Mehedi Maruf,Chattogram Challengers v Sylhet Strikers,06/01/2023,228210.0
300,D Rasooli,Chattogram Challengers v Sylhet Strikers,06/01/2023,819441
301,Al-Amin,Chattogram Challengers v Sylhet Strikers,06/01/2023,549947.0
302,Shuvagata Hom,Chattogram Challengers v Sylhet Strikers,06/01/2023,402992.0
303,Afif Dhrubo Hossain,Chattogram Challengers v Sylhet Strikers,06/01/2023,935995
304,Usman Khan,Chattogram Challengers v Sylhet Strikers,06/01/2023,467829.0
305,Usman Khan,Chattogram Challengers v Sylhet Strikers,06/01/2023,1123428.0
306,Unmukt Chand,Chattogram Challengers v Sylhet Strikers,06/01/2023,446499.0
307,Mrittunjoy Chowdhury,Chattogram Challengers v Sylhet Strikers,06/01/2023,1012137.0
308,Nihaduzzaman,Chattogram Challengers v Sylhet Strikers,06/01/2023,629065.0
309,PM Pushpakumara,Chattogram Challengers v Sylhet Strikers,06/01/2023,50205.0
310,Mehedi Hasan Rana,Chattogram Challengers v Sylhet Strikers,06/01/2023,878465.0
311,NH Shanto,Chattogram Challengers v Sylhet Strikers,06/01/2023,629058
312,Zakir Hasan,Chattogram Challengers v Sylhet Strikers,06/01/2023,697059.0
313,MM Rahim,Chattogram Challengers v Sylhet Strikers,06/01/2023,56029
314,MS Naim,Comilla Victorians v Rangpur Riders,06/01/2023,990081
315,R Talukdar,Comilla Victorians v Rangpur Riders,06/01/2023,300617
316,Shoaib Malik,Comilla Victorians v Rangpur Riders,06/01/2023,42657.0
317,SB Raza,Comilla Victorians v Rangpur Riders,06/01/2023,299572
318,NQ Hasan,Comilla Victorians v Rangpur Riders,06/01/2023,410765
319,M Hasan,Comilla Victorians v Rangpur Riders,06/01/2023,833087
320,M Shykat Ali,Comilla Victorians v Rangpur Riders,06/01/2023,314743
321,LK Das,Comilla Victorians v Rangpur Riders,06/01/2023,536936
322,I Kayes,Comilla Victorians v Rangpur Riders,06/01/2023,280734
323,MS Hossain,Comilla Victorians v Rangpur Riders,06/01/2023,550133
324,M Nabi,Comilla Victorians v Rangpur Riders,06/01/2023,25913
325,JA Anik,Comilla Victorians v Rangpur Riders,06/01/2023,824541
326,K Shah,Comilla Victorians v Rangpur Riders,06/01/2023,716733
327,M Rahman,Comilla Victorians v Rangpur Riders,06/01/2023,330902
328,Ashiqur M Zaman,Comilla Victorians v Rangpur Riders,06/01/2023,1276983
329,TK Iqbal,Khulna Tigers v Dhaka Dominators,07/01/2023,
330,Sharjeel Khan,Khulna Tigers v Dhaka Dominators,07/01/2023,227762.0
331,M  Shahriar,Khulna Tigers v Dhaka Dominators,07/01/2023,549950
332,Azam Khan,Khulna Tigers v Dhaka Dominators,07/01/2023,39020.0
333,Azam Khan,Khulna Tigers v Dhaka Dominators,07/01/2023,1137262.0
334,Y Ali Chowdhury,Khulna Tigers v Dhaka Dominators,07/01/2023,629059
335,M Saifuddin,Khulna Tigers v Dhaka Dominators,07/01/2023,629070
336,SM Rahman,Khulna Tigers v Dhaka Dominators,07/01/2023,373538
337,N Islam,Khulna Tigers v Dhaka Dominators,07/01/2023,675945
338,Wahab Riaz,Khulna Tigers v Dhaka Dominators,07/01/2023,43590.0
339,PA van Meekeren,Khulna Tigers v Dhaka Dominators,07/01/2023,348109.0
340,D Munaweera,Khulna Tigers v Dhaka Dominators,07/01/2023,304735
341,Ahmed Shehzad,Khulna Tigers v Dhaka Dominators,07/01/2023,259410.0
342,S Sarkar,Khulna Tigers v Dhaka Dominators,07/01/2023,543485.0
343,Mohammad Mithun,Khulna Tigers v Dhaka Dominators,07/01/2023,269237.0
344,Nasir Hossain,Khulna Tigers v Dhaka Dominators,07/01/2023,300618.0
345,U Ghani,Khulna Tigers v Dhaka Dominators,07/01/2023,711559
346,Ariful Haque,Khulna Tigers v Dhaka Dominators,07/01/2023,270135.0
347,PC de Silva,Fortune Barishal v Sylhet Strikers,07/01/2023,345825.0
348,A Haque,Fortune Barishal v Sylhet Strikers,07/01/2023,29403.0
349,I Ahmed,Fortune Barishal v Sylhet Strikers,07/01/2023,480603
350,S Al Hasan,Fortune Barishal v Sylhet Strikers,07/01/2023,56143
351,M Mahmudullah,Fortune Barishal v Sylhet Strikers,07/01/2023,56025
352,H Ali,Fortune Barishal v Sylhet Strikers,07/01/2023,1168651
353,K Janat,Fortune Barishal v Sylhet Strikers,07/01/2023,793467
354,M Hasan Miraz,Fortune Barishal v Sylhet Strikers,07/01/2023,629063
355,MT Hridoy,Fortune Barishal v Sylhet Strikers,07/01/2023,990031
356,Thisara Perera,Fortune Barishal v Sylhet Strikers,07/01/2023,233514.0
357,AR Hider,Comilla Victorians v Sylhet Strikers,09/01/2023,550137
358,M Haris,Comilla Victorians v Sylhet Strikers,09/01/2023,1205559
